PubNum,PubDate,PubMainClass,PubSubClass,PubNumClaims
US03884141,1975-05-20,100,163R,3
US03884140,1975-05-20,100,163R,10
US03884139,1975-05-20,100,26,5
US03884138,1975-05-20,100,5,6
US03882771,1975-05-13,100,343,15
US03882770,1975-05-13,100,49,3
US03881409,1975-05-06,100,68,9
US03881408,1975-05-06,100,353,18
US03881407,1975-05-06,100,35,NA
US03880073,1975-04-29,100,142,4
US03880072,1975-04-29,100,100,3
US03880071,1975-04-29,100,27,4
US03880070,1975-04-29,100,7,1
US03878774,1975-04-22,100,96,2
US03878773,1975-04-22,100,344,18
US03877366,1975-04-15,100,121,11
US03877365,1975-04-15,100,117,2
US03877364,1975-04-15,100,37,4
US03875855,1975-04-08,100,2,9
US03874283,1975-04-01,100,121,4
US03874282,1975-04-01,100,343,4
US03874281,1975-04-01,100,35,24
US03872786,1975-03-25,100,218,10
US03872785,1975-03-25,100,48,3
US03872784,1975-03-25,100,45,4
US03871292,1975-03-18,100,215,6
US03871291,1975-03-18,100,320,19
US03871290,1975-03-18,100,39,6
US03871289,1975-03-18,100,4,2
US03871288,1975-03-18,100,2,24
US03869979,1975-03-11,100,218,18
US03869978,1975-03-11,100,349,7
US03868903,1975-03-04,100,45,76
US03868898,1975-03-04,100,35,19
US03867880,1975-02-25,100,226,5
US03867879,1975-02-25,100,162R,2
US03867878,1975-02-25,100,2,2
US03866532,1975-02-18,100,171,10
US03866531,1975-02-18,100,88,8
US03866530,1975-02-18,100,353,34
US03866529,1975-02-18,100,43,9
US03865025,1975-02-11,100,26,3
US03863563,1975-02-04,100,102,10
US03863562,1975-02-04,100,327,4
US03863561,1975-02-04,100,352,11
US03863560,1975-02-04,100,37,7
US03863559,1975-02-04,100,37,14
US03863558,1975-02-04,100,33R,10
US03863557,1975-02-04,100,33PB,9
US03863297,1975-02-04,100,8,10
US03862596,1975-01-28,100,219,27
US03862595,1975-01-28,100,100,7
US03862594,1975-01-28,100,95,8
US03862593,1975-01-28,100,343,6
US03862592,1975-01-28,100,4,6
US03861304,1975-01-21,100,269.04,6
US03861298,1975-01-21,100,218,3
US03861297,1975-01-21,100,349,8
US03861296,1975-01-21,100,343,21
US03859912,1975-01-14,100,257,1
US03859911,1975-01-14,100,215,1
US03859910,1975-01-14,100,100,10
US03859909,1975-01-14,100,88,5
US03859908,1975-01-14,100,343,21
US03858714,1975-01-07,100,41,7
US03858505,1975-01-07,100,325,23
US03858504,1975-01-07,100,74,11
US03858503,1975-01-07,100,33PB,1
US03999477,1976-12-28,100,350,38
US03999476,1976-12-28,100,7,5
US03998150,1976-12-21,100,269.06,16
US03998149,1976-12-21,100,118,5
US03998148,1976-12-21,100,117,12
US03998147,1976-12-21,100,11,12
US03996850,1976-12-14,100,220,2
US03996849,1976-12-14,100,218,4
US03996848,1976-12-14,100,73,3
US03995544,1976-12-07,100,116,8
US03995543,1976-12-07,100,343,20
US03994216,1976-11-30,100,343,19
US03992987,1976-11-23,100,88,2
US03992986,1976-11-23,100,7,1
US03991681,1976-11-16,100,257,6
US03991670,1976-11-16,100,295,1
US03991669,1976-11-16,100,162B,28
US03991668,1976-11-16,100,98R,9
US03990496,1976-11-09,100,215,14
US03990359,1976-11-09,100,98R,11
US03989367,1976-11-02,100,155R,4
US03988982,1976-11-02,100,107,12
US03988981,1976-11-02,100,99,7
US03988980,1976-11-02,100,349,4
US03988979,1976-11-02,100,50,70
US03988978,1976-11-02,100,35,7
US03988977,1976-11-02,100,5,11
US03986448,1976-10-19,100,229R,5
US03986447,1976-10-19,100,219,5
US03985072,1976-10-12,100,255,10
US03983800,1976-10-05,100,215,3
US03983799,1976-10-05,100,2,4
US03982483,1976-09-28,100,117,3
US03980016,1976-09-14,100,295,6
US03980015,1976-09-14,100,233,8
US03980014,1976-09-14,100,127,18
US03980013,1976-09-14,100,117,4
US03978785,1976-09-07,100,215,7
US03978784,1976-09-07,100,170,12
US03978783,1976-09-07,100,353,15
US03977315,1976-08-31,100,232,1
US03977314,1976-08-31,100,4,4
US03976003,1976-08-24,100,295,4
US03976002,1976-08-24,100,215,2
US03974764,1976-08-17,100,269.16,8
US03974763,1976-08-17,100,35,5
US03974762,1976-08-17,100,9,8
US03974761,1976-08-17,100,7,8
US03973484,1976-08-10,100,153,17
US03973483,1976-08-10,100,302,19
US03971310,1976-07-27,100,118,13
US03971309,1976-07-27,100,2,12
US03968743,1976-07-13,100,52,6
US03968742,1976-07-13,100,37,6
US03967548,1976-07-06,100,229A,7
US03965814,1976-06-29,100,245,6
US03965813,1976-06-29,100,99,13
US03965812,1976-06-29,100,39,3
US03965811,1976-06-29,100,4,5
US03965769,1976-06-29,100,151,14
US03964381,1976-06-22,100,34,6
US03964380,1976-06-22,100,9,6
US03962968,1976-06-15,100,215,5
US03962967,1976-06-15,100,191,14
US03962966,1976-06-15,100,156,18
US03962965,1976-06-15,100,99,14
US03962964,1976-06-15,100,51,4
US03961573,1976-06-08,100,100,6
US03961572,1976-06-08,100,341,17
US03960071,1976-06-01,100,229A,10
US03960070,1976-06-01,100,49,11
US03960069,1976-06-01,100,38,6
US03958506,1976-05-25,100,4,3
US03956982,1976-05-18,100,212,6
US03956981,1976-05-18,100,39,6
US03956980,1976-05-18,100,38,17
US03955493,1976-05-11,100,289,6
US03955492,1976-05-11,100,215,7
US03955491,1976-05-11,100,7,11
US03952647,1976-04-27,100,98R,3
US03951059,1976-04-20,100,173,14
US03951058,1976-04-20,100,107,5
US03949663,1976-04-13,100,229A,4
US03949662,1976-04-13,100,4,3
US03948167,1976-04-06,100,215,6
US03948166,1976-04-06,100,163R,7
US03948165,1976-04-06,100,116,5
US03948164,1976-04-06,100,98R,4
US03948163,1976-04-06,100,349,17
US03948162,1976-04-06,100,45,3
US03946662,1976-03-30,100,240,19
US03946661,1976-03-30,100,346,1
US03946660,1976-03-30,100,39,2
US03946659,1976-03-30,100,4,6
US03945315,1976-03-23,100,95,5
US03945314,1976-03-23,100,345,11
US03945313,1976-03-23,100,34,2
US03943845,1976-03-16,100,189,5
US03943844,1976-03-16,100,343,1
US03943843,1976-03-16,100,51,2
US03942434,1976-03-09,100,168,11
US03942433,1976-03-09,100,118,2
US03942432,1976-03-09,100,346,5
US03942431,1976-03-09,100,345,5
US03942430,1976-03-09,100,52,37
US03942429,1976-03-09,100,26,6
US03941049,1976-03-02,100,274,6
US03941048,1976-03-02,100,215,3
US03941047,1976-03-02,100,100,13
US03941046,1976-03-02,100,45,18
US03939765,1976-02-24,100,100,6
US03939764,1976-02-24,100,100,31
US03939763,1976-02-24,100,340,3
US03939762,1976-02-24,100,4,13
US03938434,1976-02-17,100,117,48
US03938433,1976-02-17,100,51,3
US03938432,1976-02-17,100,7,9
US03937140,1976-02-10,100,245,9
US03937139,1976-02-10,100,215,5
US03935812,1976-02-03,100,214,3
US03935811,1976-02-03,100,346,10
US03934499,1976-01-27,100,341,13
US03934498,1976-01-27,100,35,16
US03933089,1976-01-20,100,349,13
US03933088,1976-01-20,100,34,2
US03933087,1976-01-20,100,1,3
US03931793,1976-01-13,100,176,3
US03931760,1976-01-13,100,4,4
US03930442,1976-01-06,100,18,7
US04064798,1977-12-27,100,229A,13
US04063499,1977-12-20,100,215,10
US04063498,1977-12-20,100,176,17
US04062284,1977-12-13,100,289,1
US04062283,1977-12-13,100,218,7
US04062282,1977-12-13,100,352,11
US04062281,1977-12-13,100,35,4
